fold,test_player,n_test,accuracy,f1_macro
1,Ahesan,5,1.0,1.0
2,Devansh,5,1.0,1.0
3,Jordan,5,1.0,1.0
4,Karan,5,1.0,1.0
5,Nihaal,5,1.0,1.0
6,Soham,5,1.0,1.0
7,Yadnesh,5,1.0,1.0
8,dummy01,5,1.0,1.0
9,dummy02,5,1.0,1.0
10,dummy03,5,1.0,1.0
11,dummy04,5,1.0,1.0
12,dummy05,5,1.0,1.0
13,dummy06,5,1.0,1.0
14,dummy07,5,1.0,1.0
15,dummy08,5,1.0,1.0
16,dummy09,5,1.0,1.0
17,dummy10,5,1.0,1.0
18,dummy11,5,1.0,1.0
19,dummy12,5,1.0,1.0
20,dummy13,5,1.0,1.0
21,dummy14,5,1.0,1.0
22,dummy15,5,1.0,1.0
23,dummy16,5,1.0,1.0
24,dummy17,5,1.0,1.0
25,dummy18,5,1.0,1.0
26,dummy19,5,1.0,1.0
27,dummy20,5,1.0,1.0
28,dummy21,5,1.0,1.0
29,dummy22,5,1.0,1.0
30,dummy23,5,1.0,1.0
31,dummy24,5,1.0,1.0
32,dummy25,5,1.0,1.0
33,dummy26,5,1.0,1.0
34,dummy27,5,1.0,1.0
35,dummy28,5,1.0,1.0
36,dummy29,5,1.0,1.0
37,dummy30,5,1.0,1.0
38,dummy31,5,1.0,1.0
39,dummy32,5,1.0,1.0
40,dummy33,5,1.0,1.0
41,dummy34,5,1.0,1.0
42,dummy35,5,1.0,1.0
